text,label
flight new york departs saturday checkin opens,0
make per day working home experience needed join,1
send people receive bill gates,1
happy birthday david hope wonderful day,0
make per day working home experience needed join,1
ive booked table thursday let know plans change,0
congratulations youve prize click claim httpprizecom,1
nigerian prince needs help transfer reward,1
selected cash reward act fast expires soon,1
congratulations youve prize click claim httpprizecom,1
make per day working home experience needed join,1
reminder rent due mondayth please transfer convenience,0
ive booked table saturday let know plans change,0
flight tokyo departs saturday checkin opens,0
thanks email ill get back end day tuesday,0
flight sydney departs noon saturday checkin opens,0
invoice attached please process tomorrow,0
owe taxes pay immediately face arrest irs notice,1
selected cash reward act fast expires soon,1
invoice attached please process wednesday,0
congratulations youve prize click claim httpprizecom,1
prescription drugs prescription needed httppharmacycom,1
hot singles area waiting meet tonight httpdatecom,1
reminder rent due tomorrowth please transfer convenience,0
free trial premium service credit card needed sign httpfreecom,1
congratulations youve prize click claim httpprizecom,1
free iphone pro limited offer reply yes claim,1
heres summary todays meeting action items highlighted yellow,0
please review sign attached nda meeting,0
nigerian prince needs help transfer reward,1
homework assignment due friday please submit via portal midnight,0
last chance confirm subscription lose access click httpsubnet,1
order shipped expected delivery monday,0
jessica insurance renewal due thursday review policy attached,0
conference call recording available shared folder,0
amanda review pull request submitted let know questions,0
hot singles area waiting meet tonight httpdatecom,1
dinner tonight thinking could try new italian place,0
emily checking meeting scheduled tomorrow,0
exclusive offer get everything httpshopcom,1
fyi project deadline moved friday please update plans,0
emily subscription renews let know youd like make changes,0
free trial premium service credit card needed sign httpfreecom,1
free trial premium service credit card needed sign httpfreecom,1
claim youve chosen amazon gift card,1
quarterly budget review scheduled wednesday please prepare department numbers,0
invoice attached please process,0
invoice attached please process tuesday,0
send people receive bill gates,1
computer virus call immediately free removal,1
claim youve chosen amazon gift card,1
free trial premium service credit card needed sign httpfreecom,1
claim youve chosen amazon gift card,1
fyi project deadline moved sunday please update plans,0
team please welcome james joining new product manager starting next week,0
breaking erase debt days legally get free guide,1
paypal account limited verify immediately httppaypalcom,1
paypal account limited verify immediately httppaypalcom,1
team please welcome amanda joining new product manager starting wednesday,0
thanks email ill get back end day sunday,0
claim youve chosen amazon gift card,1
earn daily crypto bitcoin investment guaranteed returns,1
nigerian prince needs help transfer reward,1
fyi project deadline moved tuesday please update plans,0
jessica subscription renews next week let know youd like make changes,0
doctors appointment confirmed sunday,0
homework assignment due please submit via portal midnight,0
library book reserved available pickup expires tuesday,0
hot singles area waiting meet tonight httpdatecom,1
happy birthday ashley hope wonderful day,0
computer virus call immediately free removal,1
send people receive bill gates,1
earn daily crypto bitcoin investment guaranteed returns,1
homework assignment due monday please submit via portal midnight,0
owe taxes pay immediately face arrest irs notice,1
free trial premium service credit card needed sign httpfreecom,1
computer virus call immediately free removal,1
please find attached report discussed last meeting,0
ive booked table next week let know plans change,0
hey free weekend planning hike,0
david wanted follow proposal sent last week feedback,0
prescription drugs prescription needed httppharmacycom,1
lose lbs days guaranteed miracle pill works instantly,1
order shipped expected delivery tomorrow,0
conference call recording next week available shared folder,0
hot singles area waiting meet tonight httpdatecom,1
john review pull request submitted let know questions,0
paypal account limited verify immediately httppaypalcom,1
nigerian prince needs help transfer reward,1
reschedule friday call conflict morning,0
library book reserved available pickup expires thursday,0
jessica insurance renewal due wednesday review policy attached,0
reschedule monday call conflict morning,0
lose lbs days guaranteed miracle pill works instantly,1
earn daily crypto bitcoin investment guaranteed returns,1
happy birthday michael hope wonderful day,0
sarah insurance renewal due monday review policy attached,0
free trial premium service credit card needed sign httpfreecom,1
reschedule sunday call conflict morning,0
dinner tonight thinking could try new italian place,0
last chance confirm subscription lose access click httpsubnet,1
exclusive offer get everything httpshopcom,1
last chance confirm subscription lose access click httpsubnet,1
lose lbs days guaranteed miracle pill works instantly,1
exclusive offer get everything httpshopcom,1
lose lbs days guaranteed miracle pill works instantly,1
package held customs pay fee httpcustomscom,1
hey free weekend planning hike tuesday,0
last chance confirm subscription lose access click httpsubnet,1
claim youve chosen amazon gift card,1
order shipped expected delivery,0
order shipped expected delivery wednesday,0
selected cash reward act fast expires soon,1
thanks attending webinar recording slides attached,0
sarah wanted follow proposal sent last week feedback,0
free trial premium service credit card needed sign httpfreecom,1
hey free weekend planning hike wednesday,0
hot singles area waiting meet tonight httpdatecom,1
team please welcome michael joining new product manager starting saturday,0
claim youve chosen amazon gift card,1
flight new york departs friday checkin opens,0
prescription drugs prescription needed httppharmacycom,1
claim youve chosen amazon gift card,1
homework assignment due tuesday please submit via portal midnight,0
hey free weekend planning hike next week,0
dinner tonight thinking could try new italian place,0
meet beautiful european women seeking marriage visit httpbridecom,1
exclusive offer get everything httpshopcom,1
package held customs pay fee httpcustomscom,1
exclusive offer get everything httpshopcom,1
free trial premium service credit card needed sign httpfreecom,1
happy birthday jessica hope wonderful day,0
earn daily crypto bitcoin investment guaranteed returns,1
exclusive offer get everything httpshopcom,1
make per day working home experience needed join,1
hey free weekend planning hike sunday,0
reminder team standup today agenda shared doc,0
please review sign attached nda meeting tuesday,0
exclusive offer get everything httpshopcom,1
earn daily crypto bitcoin investment guaranteed returns,1
earn daily crypto bitcoin investment guaranteed returns,1
lose lbs days guaranteed miracle pill works instantly,1
fyi project deadline moved monday please update plans,0
nigerian prince needs help transfer reward,1
homework assignment due wednesday please submit via portal midnight,0
prescription drugs prescription needed httppharmacycom,1
last chance confirm subscription lose access click httpsubnet,1
jessica review pull request submitted let know questions,0
ashley checking meeting scheduled sunday noon,0
earn daily crypto bitcoin investment guaranteed returns,1
selected cash reward act fast expires soon,1
claim youve chosen amazon gift card,1
congratulations youve prize click claim httpprizecom,1
ashley wanted follow proposal sent last week feedback,0
michael insurance renewal due review policy attached,0
paypal account limited verify immediately httppaypalcom,1
meet beautiful russian women seeking marriage visit httpbridecom,1
please find attached report discussed last meeting,0
lose lbs days guaranteed miracle pill works instantly,1
fyi project deadline moved tomorrow please update plans,0
send people receive bill gates,1
congratulations youve prize click claim httpprizecom,1
reminder team standup today agenda shared doc,0
congratulations youve prize click claim httpprizecom,1
amanda wanted follow proposal sent last week feedback,0
invoice attached please process saturday,0
exclusive offer get everything httpshopcom,1
selected cash reward act fast expires soon,1
quarterly budget review scheduled tomorrow please prepare department numbers,0
free trial premium service credit card needed sign httpfreecom,1
doctors appointment confirmed tomorrow,0
order shipped expected delivery sunday,0
hot singles area waiting meet tonight httpdatecom,1
doctors appointment confirmed friday,0
paypal account limited verify immediately httppaypalcom,1
order shipped expected delivery wednesday,0
thanks email ill get back end day monday,0
please review sign attached nda meeting saturday,0
invoice attached please process,0
refinance mortgage get cash back credit check needed,1
david review pull request submitted let know questions,0
winner email lottery send bank details collect,1
computer virus call immediately free removal,1
urgent account suspended verify httpsecurenet,1
monthly newsletter heres happened community june,0
hey free weekend planning hike,0
homework assignment due next week please submit via portal midnight,0
owe taxes pay immediately face arrest irs notice,1
library book reserved available pickup expires wednesday,0
congratulations youve prize click claim httpprizecom,1
flight new york departs thursday checkin opens,0
quarterly budget review scheduled thursday please prepare department numbers,0
ive booked table wednesday let know plans change,0
free trial premium service credit card needed sign httpfreecom,1
library book reserved available pickup expires next week,0
hot singles area waiting meet tonight httpdatecom,1
meet beautiful russian women seeking marriage visit httpbridecom,1
sarah subscription renews saturday let know youd like make changes,0
urgent account suspended verify httpsecurenet,1
monthly newsletter heres happened community august,0
jessica subscription renews wednesday let know youd like make changes,0
selected cash reward act fast expires soon,1
nigerian prince needs help transfer reward,1
earn daily crypto bitcoin investment guaranteed returns,1
reminder rent due thursdayth please transfer convenience,0
urgent account suspended verify httpsecurenet,1
refinance mortgage get cash back credit check needed,1
david insurance renewal due monday review policy attached,0
claim youve chosen amazon gift card,1
homework assignment due please submit via portal midnight,0
free trial premium service credit card needed sign httpfreecom,1
order shipped expected delivery monday,0
invoice attached please process tomorrow,0
hot singles area waiting meet tonight httpdatecom,1
flight sydney departs checkin opens,0
reschedule call conflict morning,0
package held customs pay fee httpcustomscom,1
quarterly budget review scheduled please prepare department numbers,0
library book reserved available pickup expires tomorrow,0
john wanted follow proposal sent last week feedback,0
quarterly budget review scheduled saturday please prepare department numbers,0
selected cash reward act fast expires soon,1
claim youve chosen amazon gift card,1
library book reserved available pickup expires,0
prescription drugs prescription needed httppharmacycom,1
nigerian prince needs help transfer reward,1
monthly newsletter heres happened community july,0
thanks email ill get back end day,0
package held customs pay fee httpcustomscom,1
hot singles area waiting meet tonight httpdatecom,1
winner email lottery send bank details collect,1
earn daily crypto bitcoin investment guaranteed returns,1
thanks email ill get back end day next week,0
refinance mortgage get cash back credit check needed,1
selected cash reward act fast expires soon,1
thanks email ill get back end day,0
owe taxes pay immediately face arrest irs notice,1
owe taxes pay immediately face arrest irs notice,1
monthly newsletter heres happened community september,0
congratulations youve prize click claim httpprizecom,1
refinance mortgage get cash back credit check needed,1
nigerian prince needs help transfer reward,1
prescription drugs prescription needed httppharmacycom,1
prescription drugs prescription needed httppharmacycom,1
claim youve chosen amazon gift card,1
sarah review pull request submitted let know questions,0
flight toronto departs saturday checkin opens,0
order shipped expected delivery thursday,0
sarah checking meeting scheduled tuesday,0
owe taxes pay immediately face arrest irs notice,1
free trial premium service credit card needed sign httpfreecom,1
conference call recording monday available shared folder,0
send people receive bill gates,1
free trial premium service credit card needed sign httpfreecom,1
free trial premium service credit card needed sign httpfreecom,1
prescription drugs prescription needed httppharmacycom,1
free iphone limited offer reply yes claim,1
amanda subscription renews sunday let know youd like make changes,0
urgent account suspended verify httpsecurenet,1
send people receive bill gates,1
invoice attached please process friday,0
lose lbs days guaranteed miracle pill works instantly,1
dinner tonight thinking could try new italian place,0
nigerian prince needs help transfer reward,1
please review sign attached nda meeting friday,0
prescription drugs prescription needed httppharmacycom,1
paypal account limited verify immediately httppaypalcom,1
flight tokyo departs thursday checkin opens,0
reminder team standup today agenda shared doc,0
doctors appointment confirmed,0
winner email lottery send bank details collect,1
selected cash reward act fast expires soon,1
happy birthday sarah hope wonderful day,0
nigerian prince needs help transfer reward,1
owe taxes pay immediately face arrest irs notice,1
reminder rent due saturdayth please transfer convenience,0
james subscription renews tomorrow let know youd like make changes,0
package held customs pay fee httpcustomscom,1
exclusive offer get everything httpshopcom,1
thanks email ill get back end day wednesday,0
congratulations youve prize click claim httpprizecom,1
claim youve chosen amazon gift card,1
robert wanted follow proposal sent last week feedback,0
hot singles area waiting meet tonight httpdatecom,1
congratulations youve prize click claim httpprizecom,1
hey free weekend planning hike tomorrow,0
lose lbs days guaranteed miracle pill works instantly,1
computer virus call immediately free removal,1
jessica subscription renews monday let know youd like make changes,0
ashley review pull request submitted let know questions,0
meet beautiful latin women seeking marriage visit httpbridecom,1
claim youve chosen amazon gift card,1
make per day working home experience needed join,1
invoice attached please process thursday,0
emily review pull request submitted let know questions,0
last chance confirm subscription lose access click httpsubnet,1
refinance mortgage get cash back credit check needed,1
flight paris departs sunday checkin opens,0
selected cash reward act fast expires soon,1
owe taxes pay immediately face arrest irs notice,1
computer virus call immediately free removal,1
earn daily crypto bitcoin investment guaranteed returns,1
meet beautiful russian women seeking marriage visit httpbridecom,1
last chance confirm subscription lose access click httpsubnet,1
selected cash reward act fast expires soon,1
invoice attached please process saturday,0
lose lbs days guaranteed miracle pill works instantly,1
earn daily crypto bitcoin investment guaranteed returns,1
earn daily crypto bitcoin investment guaranteed returns,1
dinner noon tonight thinking could try new italian place,0
paypal account limited verify immediately httppaypalcom,1
reminder rent due wednesdayth please transfer convenience,0
refinance mortgage get cash back credit check needed,1
ive booked table friday let know plans change,0
selected cash reward act fast expires soon,1
paypal account limited verify immediately httppaypalcom,1
package held customs pay fee httpcustomscom,1
emily subscription renews next week let know youd like make changes,0
exclusive offer get everything httpshopcom,1
invoice attached please process sunday,0
urgent account suspended verify httpsecurenet,1
owe taxes pay immediately face arrest irs notice,1
library book reserved available pickup expires friday,0
claim youve chosen amazon gift card,1
paypal account limited verify immediately httppaypalcom,1
last chance confirm subscription lose access click httpsubnet,1
doctors appointment confirmed tuesday,0
doctors appointment confirmed thursday,0
invoice attached please process,0
order shipped expected delivery tuesday,0
computer virus call immediately free removal,1
hey free weekend planning hike monday,0
exclusive offer get everything httpshopcom,1
earn daily crypto bitcoin investment guaranteed returns,1
ive booked table let know plans change,0
reminder rent due sundayth please transfer convenience,0
package held customs pay fee httpcustomscom,1
free trial premium service credit card needed sign httpfreecom,1
package held customs pay fee httpcustomscom,1
urgent account suspended verify httpsecurenet,1
lose lbs days guaranteed miracle pill works instantly,1
urgent account suspended verify httpsecurenet,1
package held customs pay fee httpcustomscom,1
ive booked table sunday let know plans change,0
owe taxes pay immediately face arrest irs notice,1
last chance confirm subscription lose access click httpsubnet,1
congratulations youve prize click claim httpprizecom,1
exclusive offer get everything httpshopcom,1
david subscription renews tomorrow let know youd like make changes,0
winner email lottery send bank details collect,1
send people receive bill gates,1
computer virus call immediately free removal,1
owe taxes pay immediately face arrest irs notice,1
michael insurance renewal due monday review policy attached,0
prescription drugs prescription needed httppharmacycom,1
ive booked table noon tomorrow let know plans change,0
claim youve chosen amazon gift card,1
owe taxes pay immediately face arrest irs notice,1
computer virus call immediately free removal,1
dinner tonight thinking could try new italian place,0
please review sign attached nda meeting wednesday,0
flight chicago departs checkin opens,0
paypal account limited verify immediately httppaypalcom,1
earn daily crypto bitcoin investment guaranteed returns,1
meet beautiful asian women seeking marriage visit httpbridecom,1
selected cash reward act fast expires soon,1
james review pull request submitted let know questions,0
john insurance renewal due review policy attached,0
selected cash reward act fast expires soon,1
package held customs pay fee httpcustomscom,1
conference call recording tomorrow available shared folder,0
hot singles area waiting meet tonight httpdatecom,1
ive booked table tomorrow let know plans change,0
please review sign attached nda meeting,0
send people receive bill gates,1
exclusive offer get everything httpshopcom,1
send people receive bill gates,1
refinance mortgage get cash back credit check needed,1
make per day working home experience needed join,1
robert review pull request submitted let know questions,0
doctors appointment confirmed monday,0
amanda subscription renews thursday let know youd like make changes,0
exclusive offer get everything httpshopcom,1
ive booked table sunday let know plans change,0
amanda insurance renewal due next week review policy attached,0
winner email lottery send bank details collect,1
ive booked table next week let know plans change,0
congratulations youve prize click claim httpprizecom,1
john checking meeting scheduled saturday,0
claim youve chosen amazon gift card,1
lose lbs days guaranteed miracle pill works instantly,1
last chance confirm subscription lose access click httpsubnet,1
package held customs pay fee httpcustomscom,1
free trial premium service credit card needed sign httpfreecom,1
congratulations youve prize click claim httpprizecom,1
meet beautiful russian women seeking marriage visit httpbridecom,1
team please welcome ashley joining new marketing manager starting friday,0
send people receive bill gates,1
please find attached report discussed last meeting,0
nigerian prince needs help transfer reward,1
exclusive offer get everything httpshopcom,1
claim youve chosen amazon gift card,1
paypal account limited verify immediately httppaypalcom,1
homework assignment due saturday please submit via portal midnight,0
free trial premium service credit card needed sign httpfreecom,1
meet beautiful latin women seeking marriage visit httpbridecom,1
refinance mortgage get cash back credit check needed,1
congratulations youve prize click claim httpprizecom,1
urgent account suspended verify httpsecurenet,1
claim youve chosen amazon gift card,1
doctors appointment confirmed thursday,0
free trial premium service credit card needed sign httpfreecom,1
library book reserved available pickup expires monday,0
meet beautiful russian women seeking marriage visit httpbridecom,1
computer virus call immediately free removal,1
lose lbs days guaranteed miracle pill works instantly,1
free trial premium service credit card needed sign httpfreecom,1
claim youve chosen amazon gift card,1
conference call recording wednesday available shared folder,0
ive booked table monday let know plans change,0
paypal account limited verify immediately httppaypalcom,1
michael subscription renews friday let know youd like make changes,0
selected cash reward act fast expires soon,1
emily insurance renewal due review policy attached,0
team please welcome ashley joining new software engineer starting,0
earn daily crypto bitcoin investment guaranteed returns,1
meet beautiful european women seeking marriage visit httpbridecom,1
meet beautiful asian women seeking marriage visit httpbridecom,1
exclusive offer get everything httpshopcom,1
lose lbs days guaranteed miracle pill works instantly,1
flight berlin departs tuesday checkin opens,0
prescription drugs prescription needed httppharmacycom,1
owe taxes pay immediately face arrest irs notice,1
homework assignment due sunday please submit via portal midnight,0
jessica checking meeting scheduled next week,0
prescription drugs prescription needed httppharmacycom,1
order shipped expected delivery monday,0
last chance confirm subscription lose access click httpsubnet,1
owe taxes pay immediately face arrest irs notice,1
quarterly budget review scheduled tuesday please prepare department numbers,0
last chance confirm subscription lose access click httpsubnet,1
homework assignment due tomorrow please submit via portal midnight,0
ashley subscription renews next week let know youd like make changes,0
refinance mortgage get cash back credit check needed,1
send people receive bill gates,1
meet beautiful russian women seeking marriage visit httpbridecom,1
nigerian prince needs help transfer reward,1
exclusive offer get everything httpshopcom,1
claim youve chosen amazon gift card,1
meet beautiful european women seeking marriage visit httpbridecom,1
conference call recording friday available shared folder,0
david checking meeting scheduled wednesday,0
claim youve chosen amazon gift card,1
prescription drugs prescription needed httppharmacycom,1
prescription drugs prescription needed httppharmacycom,1
james wanted follow proposal sent last week feedback,0
hot singles area waiting meet tonight httpdatecom,1
john insurance renewal due monday review policy attached,0
prescription drugs prescription needed httppharmacycom,1
last chance confirm subscription lose access click httpsubnet,1
happy birthday amanda hope wonderful day,0
computer virus call immediately free removal,1
selected cash reward act fast expires soon,1
free trial premium service credit card needed sign httpfreecom,1
david checking meeting scheduled wednesday,0
doctors appointment confirmed saturday,0
lose lbs days guaranteed miracle pill works instantly,1
michael review pull request submitted let know questions,0
package held customs pay fee httpcustomscom,1
claim youve chosen amazon gift card,1
doctors appointment confirmed,0
order shipped expected delivery,0
meet beautiful russian women seeking marriage visit httpbridecom,1
conference call recording saturday available shared folder,0
reschedule tuesday call conflict morning,0
meet beautiful russian women seeking marriage visit httpbridecom,1
hot singles area waiting meet tonight httpdatecom,1
paypal account limited verify immediately httppaypalcom,1
meet beautiful asian women seeking marriage visit httpbridecom,1
free trial premium service credit card needed sign httpfreecom,1
happy birthday robert hope wonderful day,0
make per day working home experience needed join,1
owe taxes pay immediately face arrest irs notice,1
please review sign attached nda meeting thursday,0
prescription drugs prescription needed httppharmacycom,1
doctors appointment confirmed wednesday,0
exclusive offer get everything httpshopcom,1
free trial premium service credit card needed sign httpfreecom,1
congratulations youve prize click claim httpprizecom,1
congratulations youve prize click claim httpprizecom,1
nigerian prince needs help transfer reward,1
dinner tonight thinking could try new italian place,0
send people receive bill gates,1
team please welcome sarah joining new data analyst starting,0
package held customs pay fee httpcustomscom,1
amanda subscription renews let know youd like make changes,0
free trial premium service credit card needed sign httpfreecom,1
michael checking meeting scheduled,0
meet beautiful asian women seeking marriage visit httpbridecom,1
prescription drugs prescription needed httppharmacycom,1
order shipped expected delivery tomorrow,0
claim youve chosen amazon gift card,1
winner email lottery send bank details collect,1
meet beautiful european women seeking marriage visit httpbridecom,1
lose lbs days guaranteed miracle pill works instantly,1
doctors appointment confirmed sunday,0
ive booked table noon sunday let know plans change,0
fyi project deadline moved wednesday please update plans,0
hot singles area waiting meet tonight httpdatecom,1
doctors appointment confirmed saturday,0
make per day working home experience needed join,1
owe taxes pay immediately face arrest irs notice,1
flight london departs wednesday checkin opens,0
make per day working home experience needed join,1
winner email lottery send bank details collect,1
lose lbs days guaranteed miracle pill works instantly,1
hey free weekend planning hike friday,0
robert insurance renewal due review policy attached,0
package held customs pay fee httpcustomscom,1
winner email lottery send bank details collect,1
jessica subscription renews let know youd like make changes,0
selected cash reward act fast expires soon,1
david checking meeting scheduled monday,0
nigerian prince needs help transfer reward,1
flight chicago departs tuesday checkin opens,0
claim youve chosen amazon gift card,1
happy birthday james hope wonderful day,0
selected cash reward act fast expires soon,1
meet beautiful latin women seeking marriage visit httpbridecom,1
earn daily crypto bitcoin investment guaranteed returns,1
claim youve chosen amazon gift card,1
order shipped expected delivery friday,0
sarah subscription renews tuesday let know youd like make changes,0
refinance mortgage get cash back credit check needed,1
free trial premium service credit card needed sign httpfreecom,1
last chance confirm subscription lose access click httpsubnet,1
winner email lottery send bank details collect,1
team please welcome ashley joining new data analyst starting monday,0
paypal account limited verify immediately httppaypalcom,1
ive booked table noon saturday let know plans change,0
make per day working home experience needed join,1
package held customs pay fee httpcustomscom,1
flight chicago departs noon checkin opens,0
winner email lottery send bank details collect,1
owe taxes pay immediately face arrest irs notice,1
last chance confirm subscription lose access click httpsubnet,1
refinance mortgage get cash back credit check needed,1
owe taxes pay immediately face arrest irs notice,1
meet beautiful european women seeking marriage visit httpbridecom,1
team please welcome amanda joining new data analyst starting tuesday,0
earn daily crypto bitcoin investment guaranteed returns,1
emily wanted follow proposal sent last week feedback,0
jessica insurance renewal due next week review policy attached,0
nigerian prince needs help transfer reward,1
computer virus call immediately free removal,1
emily insurance renewal due wednesday review policy attached,0
owe taxes pay immediately face arrest irs notice,1
claim youve chosen amazon gift card,1
david subscription renews next week let know youd like make changes,0
congratulations youve prize click claim httpprizecom,1
computer virus call immediately free removal,1
team please welcome jessica joining new product manager starting,0
selected cash reward act fast expires soon,1
hey free weekend planning hike thursday,0
free trial premium service credit card needed sign httpfreecom,1
last chance confirm subscription lose access click httpsubnet,1
paypal account limited verify immediately httppaypalcom,1
team please welcome emily joining new software engineer starting tuesday,0
last chance confirm subscription lose access click httpsubnet,1
prescription drugs prescription needed httppharmacycom,1
ive booked table sunday let know plans change,0
claim youve chosen amazon gift card,1
robert checking meeting scheduled,0
free trial premium service credit card needed sign httpfreecom,1
package held customs pay fee httpcustomscom,1
owe taxes pay immediately face arrest irs notice,1
happy birthday john hope wonderful day,0
free trial premium service credit card needed sign httpfreecom,1
order shipped expected delivery tuesday,0
doctors appointment confirmed,0
claim youve chosen amazon gift card,1
order shipped expected delivery wednesday,0
package held customs pay fee httpcustomscom,1
invoice attached please process tuesday,0
exclusive offer get everything httpshopcom,1
please review sign attached nda meeting monday,0
owe taxes pay immediately face arrest irs notice,1
thanks email ill get back end day tomorrow,0
computer virus call immediately free removal,1
nigerian prince needs help transfer reward,1
free trial premium service credit card needed sign httpfreecom,1
package held customs pay fee httpcustomscom,1
order shipped expected delivery wednesday,0
earn daily crypto bitcoin investment guaranteed returns,1
lose lbs days guaranteed miracle pill works instantly,1
reschedule next week call conflict morning,0
urgent account suspended verify httpsecurenet,1
paypal account limited verify immediately httppaypalcom,1
invoice attached please process monday,0
order shipped expected delivery,0
hot singles area waiting meet tonight httpdatecom,1
free trial premium service credit card needed sign httpfreecom,1
meet beautiful asian women seeking marriage visit httpbridecom,1
winner email lottery send bank details collect,1
thanks email ill get back end day thursday,0
lose lbs days guaranteed miracle pill works instantly,1
exclusive offer get everything httpshopcom,1
james checking meeting scheduled monday noon,0
free trial premium service credit card needed sign httpfreecom,1
meet beautiful latin women seeking marriage visit httpbridecom,1
selected cash reward act fast expires soon,1
team please welcome james joining new product manager starting monday,0
computer virus call immediately free removal,1
urgent account suspended verify httpsecurenet,1
nigerian prince needs help transfer reward,1
lose lbs days guaranteed miracle pill works instantly,1
owe taxes pay immediately face arrest irs notice,1
team please welcome jessica joining new software engineer starting sunday,0
refinance mortgage get cash back credit check needed,1
nigerian prince needs help transfer reward,1
amanda checking meeting scheduled next week noon,0
meet beautiful latin women seeking marriage visit httpbridecom,1
last chance confirm subscription lose access click httpsubnet,1
computer virus call immediately free removal,1
meet beautiful latin women seeking marriage visit httpbridecom,1
claim youve chosen amazon gift card,1
exclusive offer get everything httpshopcom,1
lose lbs days guaranteed miracle pill works instantly,1
owe taxes pay immediately face arrest irs notice,1
last chance confirm subscription lose access click httpsubnet,1
send people receive bill gates,1
conference call recording tuesday available shared folder,0
selected cash reward act fast expires soon,1
robert subscription renews let know youd like make changes,0
order shipped expected delivery,0
prescription drugs prescription needed httppharmacycom,1
free trial premium service credit card needed sign httpfreecom,1
owe taxes pay immediately face arrest irs notice,1
claim youve chosen amazon gift card,1
exclusive offer get everything httpshopcom,1
ive booked table sunday let know plans change,0
computer virus call immediately free removal,1
computer virus call immediately free removal,1
make per day working home experience needed join,1
owe taxes pay immediately face arrest irs notice,1
selected cash reward act fast expires soon,1
last chance confirm subscription lose access click httpsubnet,1
paypal account limited verify immediately httppaypalcom,1
david insurance renewal due tuesday review policy attached,0
michael subscription renews let know youd like make changes,0
please review sign attached nda meeting tomorrow,0
congratulations youve prize click claim httpprizecom,1
prescription drugs prescription needed httppharmacycom,1
make per day working home experience needed join,1
free trial premium service credit card needed sign httpfreecom,1
computer virus call immediately free removal,1
computer virus call immediately free removal,1
team please welcome sarah joining new product manager starting saturday,0
library book reserved available pickup expires saturday,0
earn daily crypto bitcoin investment guaranteed returns,1
selected cash reward act fast expires soon,1
exclusive offer get everything httpshopcom,1
meet beautiful asian women seeking marriage visit httpbridecom,1
make per day working home experience needed join,1
free trial premium service credit card needed sign httpfreecom,1
nigerian prince needs help transfer reward,1
package held customs pay fee httpcustomscom,1
lose lbs days guaranteed miracle pill works instantly,1
exclusive offer get everything httpshopcom,1
make per day working home experience needed join,1
team please welcome david joining new marketing manager starting saturday,0
winner email lottery send bank details collect,1
winner email lottery send bank details collect,1
team please welcome david joining new data analyst starting thursday,0
reminder team standup today agenda shared doc,0
order shipped expected delivery wednesday,0
winner email lottery send bank details collect,1
congratulations youve prize click claim httpprizecom,1
congratulations youve prize click claim httpprizecom,1
refinance mortgage get cash back credit check needed,1
computer virus call immediately free removal,1
package held customs pay fee httpcustomscom,1
invoice attached please process saturday,0
doctors appointment confirmed,0
winner email lottery send bank details collect,1
order shipped expected delivery,0
prescription drugs prescription needed httppharmacycom,1
reminder rent due thth please transfer convenience,0
refinance mortgage get cash back credit check needed,1
lose lbs days guaranteed miracle pill works instantly,1
owe taxes pay immediately face arrest irs notice,1
emily checking meeting scheduled wednesday,0
last chance confirm subscription lose access click httpsubnet,1
selected cash reward act fast expires soon,1
